file	existing extensions	removed
0807NurDinHaythami.KashfAstar.Shamela0012862-ara1	[]	[]
0807NurDinHaythami.MaqsadAli.Shamela0021570-ara1	[]	[]
0807NurDinHaythami.GhayatMaqsad.Shamela0009567-ara1	[]	[]
0808MuhammadDamiri.HayatHayawanKubra.Shamela0010664-ara1	[]	[]
0808MuhammadDamiri.HayatHayawanKubra.Zaydiyya0000303-ara1	[]	[]
0808MuhammadDamiri.HayatHayawanKubra.JK009229-ara1	[]	[]
0808MuhammadDamiri.SharhLamiyyatCajam.Shamela0095860-ara1	[]	[]
0822HadiIbnWazir.NihayatTanwih.Zaydiyya0000047-ara1	[]	[]
0822HadiIbnWazir.HidayatRaghibin.Zaydiyya0000091-ara1	[]	[]
0515IbnQattac.Afcal.JK000925-ara1	[]	[]
0515IbnQattac.Afcal.Shamela0012050-ara1	[]	[]
0515IbnQattac.DurraKhatira.Shamela0005424-ara1	['completed']	[]
0524IbnAhmadIbnAkfaniDimashqi.Hadith.Shamela0021673-ara1	[]	[]
0517IbnKhayyatShacir.Diwan.JK007588-ara1	[]	[]
0516IbnCabdWahidDaqqaqIsbahani.MucjamMashaikh.Shamela0009622-ara1	['completed']	[]
0516IbnCabdWahidDaqqaqIsbahani.Amali.Shamela0009594-ara1	[]	[]
0502IbnCaliTabriziShaybani.DiwanHamasa.Shamela0006907-ara1	[]	[]
0502IbnCaliTabriziShaybani.DiwanHamasa.JK001099-ara1	[]	[]
0502IbnCaliTabriziShaybani.SharhQasaid.Shamela0037488-ara1	[]	[]
0515IbnMuhammadAminDinTarabulusi.MajmucLatif.Shamela0009096-ara1	[]	[]
0514IbnAhmadIsbahaniJarkani.Juz.Shamela0009394-ara1	[]	[]
0507IbnQaysarani.IdahIshkal.Shamela0005996-ara1	[]	[]
0507IbnQaysarani.IdahIshkal.JK000767-ara1	[]	[]
0507IbnQaysarani.AnsabMuttafiqa.Shamela0021552-ara1	[]	[]
0507IbnQaysarani.AnsabMuttafiqa.JK000686-ara1	[]	[]
0507IbnQaysarani.AnsabMuttafiqa.Shamela0005794-ara1	['completed']	[]
0507IbnQaysarani.DhakhiratHuffaz.JK005020-ara1	[]	[]
0507IbnQaysarani.DhakhiratHuffaz.Shamela0006060-ara1	[]	[]
0507IbnQaysarani.MasalatTasmiyya.Shamela0026591-ara1	[]	[]
0507IbnQaysarani.Manthur.Shamela0026876-ara1	[]	[]
0507IbnQaysarani.MasalatCuluwwWaNuzul.JK000853-ara1	[]	[]
0507IbnQaysarani.MasalatCuluwwWaNuzul.Shamela0006002-ara1	[]	[]
0507IbnQaysarani.AtrafGharaib.Shamela0006083-ara1	[]	[]
0507IbnQaysarani.AtrafGharaib.JK005006-ara1	[]	[]
0507IbnQaysarani.Samac.Shamela0006277-ara1	[]	[]
0507IbnQaysarani.Samac.JK009178-ara1	[]	[]
0507IbnQaysarani.TadhkiratMawducat.JK001199-ara1	[]	[]
0507IbnQaysarani.MacrifatTadhkira.JK005019-ara1	[]	[]
0507IbnQaysarani.MacrifatTadhkira.Shamela0006080-ara1	[]	[]
0507IbnQaysarani.TadhkiratHuffaz.Shamela0001578-ara1	[]	[]
0508IbnMukhtarBaghdadi.Fawaid.Shamela0029778-ara1	[]	[]
0520IbnRushdJadd.Muqaddimat.Shamela0021735-ara1	['completed']	[]
0520IbnRushdJadd.BayanWaTahsil.Shamela0021751-ara1	[]	[]
0520IbnRushdJadd.RaddCalaManDhahaba.Shamela0006542-ara1	[]	[]
0520IbnRushdJadd.RaddCalaManDhahaba.JK000338-ara1	[]	[]
0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1	['completed']	[]
0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.Shamela0005789-ara1	[]	[]
0507AbiwardiShacir.Diwan.JK007598-ara1	[]	[]
0505IbnHamzaTajQurraKirmani.AsrarTikrar.JK000463-ara1	[]	[]
0505IbnHamzaTajQurraKirmani.AsrarTikrar.Shamela0003580-ara1	[]	[]
0505IbnHamzaTajQurraKirmani.GharaibTafsir.Shamela0012820-ara1	[]	[]
0509IbnShahridarDaylami.Firdaws.JK001297-ara1	[]	[]
0509IbnShahridarDaylami.Firdaws.Shamela0006072-ara1	[]	[]
0515CumarKhayyam.Rubaciyyat.Shamela0012857-ara1	[]	[]
0515CumarKhayyam.Rubaciyyat.JK010581-ara1	[]	[]
0520IbnMuhammadTurtushi.SirajMuluk.Shamela0001585-ara1	['mARkdwon']	[]
0520IbnMuhammadTurtushi.SirajMuluk.JK010572-ara1	[]	[]
0520IbnMuhammadTurtushi.Hawadith.Shamela0008590-ara1	['completed']	[]
0510CawtabiSuhari.Ansab.ShamIbadiyya0000248-ara1	[]	[]
0510CawtabiSuhari.Diya.ShamIbadiyya0000760-ara1	[]	[]
0521IbnMuhammadBatalyawsi.HulalFiSharh.JK009366-ara1	[]	[]
0521IbnMuhammadBatalyawsi.HulalFiSharh.Shamela0000634-ara1	[]	[]
0521IbnMuhammadBatalyawsi.Hadaiq.Shamela0006461-ara1	[]	[]
0521IbnMuhammadBatalyawsi.Hadaiq.JK001097-ara1	[]	[]
0521IbnMuhammadBatalyawsi.InsafFiTanbih.JK000294-ara1	[]	[]
0521IbnMuhammadBatalyawsi.InsafFiTanbih.Shamela0006350-ara1	[]	[]
0521IbnMuhammadBatalyawsi.MushkilatMuwatta.Shamela0006037-ara1	['completed']	[]
0521IbnMuhammadBatalyawsi.MushkilatMuwatta.JK009183-ara1	[]	[]
0508MuhammadIbnIbrahimKindi.BayanSharc.ShamIbadiyya0000198-ara1	[]	[]
0508MuhammadIbnIbrahimKindi.BayanSharc.ShamIbadiyya0000967-ara1	[]	[]
0508MuhammadIbnIbrahimKindi.BayanSharc.ShamIbadiyya0000470-ara1	[]	[]
0508MuhammadIbnIbrahimKindi.BayanSharc.ShamIbadiyya0000199-ara1	[]	[]
0511SalmaSahari.Ansab.JK010491-ara1	[]	[]
0511SalmaSahari.Ansab.Shamela0000491-ara1	[]	[]
0516IbnCaliHariri.DurratGhawwas.Shamela0006920-ara1	[]	[]
0516IbnCaliHariri.DurratGhawwas.JK001016-ara1	[]	[]
0516IbnCaliHariri.SharhMaqamat.JK009202-ara1	[]	[]
0516IbnCaliHariri.Maqamat.Shamela0026585-ara1	[]	[]
0516IbnCaliHariri.MulhatIcrab.JK009281-ara1	[]	[]
0516IbnCaliHariri.MulhatIcrab.Shamela0007840-ara1	[]	[]
0525IbnAhmadIbnHattabRazi.Ahadith.Shamela0029726-ara1	[]	[]
0505Ghazali.MishkatAnwar.JK009401-ara1	[]	[]
0505Ghazali.MishkatAnwar.Shamela0012421-ara1	[]	[]
0505Ghazali.MaqsadAsna.Shamela0006465-ara1	[]	[]
0505Ghazali.MaqsadAsna.JK000036-ara1	[]	[]
0505Ghazali.AsnafMaghrurin.JK010255-ara1	[]	[]
0505Ghazali.AsnafMaghrurin.Shamela0009198-ara1	[]	[]
0505Ghazali.AyFarzand.Khismatulin001-per1	[]	[]
0505Ghazali.MacarijQuds.Shamela0006494-ara1	[]	[]
0505Ghazali.MacarijQuds.JK000061-ara1	[]	[]
0505Ghazali.MicyarCilm.JK010716-ara1	[]	[]
0505Ghazali.MicyarCilm.Shamela0026575-ara1	[]	[]
